Frequency	Imp. Mag	Imp. Angle
+1.00000000000000E+001	+1.77265207635739E+001	+7.27775785646377E+000
+1.01617423417667E+001	+1.77290481107343E+001	+7.39844953603217E+000
+1.03261007420454E+001	+1.77330631463329E+001	+7.51618047238475E+000
+1.04931175135791E+001	+1.77366367089515E+001	+7.63444336598407E+000
+1.06628356534870E+001	+1.77399428639854E+001	+7.75318513546440E+000
+1.08352988543338E+001	+1.77442650092393E+001	+7.87489449882209E+000
+1.10105515153780E+001	+1.77479757722177E+001	+7.99922599975398E+000
+1.11886387540020E+001	+1.77514730676248E+001	+8.12163770207149E+000
+1.13696064173274E+001	+1.77561613977882E+001	+8.25091464248243E+000
+1.15535010940178E+001	+1.77609773814551E+001	+8.37909429335559E+000
+1.17403701262728E+001	+1.77648013839271E+001	+8.51025231338613E+000
+1.19302616220159E+001	+1.77692210893100E+001	+8.64521647970128E+000
+1.21232244672793E+001	+1.77754327397910E+001	+8.77903611894841E+000
+1.23193083387894E+001	+1.77795871847926E+001	+8.91507813008610E+000
+1.25185637167555E+001	+1.77846053495753E+001	+9.05355637401816E+000
+1.27210418978659E+001	+1.77894479384638E+001	+9.19625392366986E+000
+1.29267950084932E+001	+1.77950807581948E+001	+9.34056761559735E+000
+1.31358760181143E+001	+1.78005127318662E+001	+9.48697355601156E+000
+1.33483387529470E+001	+1.78056360932120E+001	+9.63619611041220E+000
+1.35642379098066E+001	+1.78109931307707E+001	+9.78535635848075E+000
+1.37836290701879E+001	+1.78167751302320E+001	+9.93944271478586E+000
+1.40065687145734E+001	+1.78235487377002E+001	+1.00951130787869E+001
+1.42331142369745E+001	+1.78287697196796E+001	+1.02533212307769E+001
+1.44633239597066E+001	+1.78348910343382E+001	+1.04147081443716E+001
+1.46972571484039E+001	+1.78417945331824E+001	+1.05790327548656E+001
+1.49349740272769E+001	+1.78480864597532E+001	+1.07456805765172E+001
+1.51765357946165E+001	+1.78560980378552E+001	+1.09103757217947E+001
+1.54220046385492E+001	+1.78620554222566E+001	+1.10816556505480E+001
+1.56714437530468E+001	+1.78689391027117E+001	+1.12568274114048E+001
+1.59249173541951E+001	+1.78773476581542E+001	+1.14310600444726E+001
+1.61824906967259E+001	+1.78837312626412E+001	+1.16126236922572E+001
+1.64442300908165E+001	+1.78926870478590E+001	+1.17927890291566E+001
+1.67102029191604E+001	+1.78989286751911E+001	+1.19824326694535E+001
+1.69804776543145E+001	+1.79086945059668E+001	+1.21654449070613E+001
+1.72551238763271E+001	+1.79178820487967E+001	+1.23596308710688E+001
+1.75342122906502E+001	+1.79258064924726E+001	+1.25587282526672E+001
+1.78178147463426E+001	+1.79344273894482E+001	+1.27488011736761E+001
+1.81060042545664E+001	+1.79443133069655E+001	+1.29490763197608E+001
+1.83988550073835E+001	+1.79536153727194E+001	+1.31550286536508E+001
+1.86964423968555E+001	+1.79637349763234E+001	+1.33537975721479E+001
+1.89988430344528E+001	+1.79745504473180E+001	+1.35666793608506E+001
+1.93061347707778E+001	+1.79840174981521E+001	+1.37853215509627E+001
+1.96183967156067E+001	+1.79940868797683E+001	+1.40128956338760E+001
+1.99357092582557E+001	+1.80055398629748E+001	+1.42350772540072E+001
+2.02581540882767E+001	+1.80196851544804E+001	+1.44630836478017E+001
+2.05858142164875E+001	+1.80315553289508E+001	+1.46751690572061E+001
+2.09187739963423E+001	+1.80417827817911E+001	+1.49003865869866E+001
+2.12571191456480E+001	+1.80552515791105E+001	+1.51610604190128E+001
+2.16009367686310E+001	+1.80692589641024E+001	+1.53752904870324E+001
+2.19503153783622E+001	+1.80795227356510E+001	+1.56297521489937E+001
+2.23053449195436E+001	+1.80963777048250E+001	+1.58896032042371E+001
+2.26661167916636E+001	+1.81066226421854E+001	+1.61367897248661E+001
+2.30327238725277E+001	+1.81274361537785E+001	+1.63936137766759E+001
+2.34052605421685E+001	+1.81382946902127E+001	+1.66624881777376E+001
+2.37838227071435E+001	+1.81539518191723E+001	+1.69124257674856E+001
