Frequency	Imp. Mag	Imp. Angle
+1.00000000000000E+001	+1.79862157961384E+001	+4.80774941264680E+000
+1.01617423417667E+001	+1.79887966945288E+001	+4.85551727553731E+000
+1.03261007420454E+001	+1.79917638984013E+001	+4.89927059498546E+000
+1.04931175135791E+001	+1.79979314518954E+001	+4.94415511519439E+000
+1.06628356534870E+001	+1.79974690935067E+001	+4.97828887342681E+000
+1.08352988543338E+001	+1.80020224268555E+001	+5.02341447726147E+000
+1.10105515153780E+001	+1.80071834387706E+001	+5.05788359297217E+000
+1.11886387540020E+001	+1.80088310263229E+001	+5.10787735838536E+000
+1.13696064173274E+001	+1.80123871637132E+001	+5.15585156833549E+000
+1.15535010940178E+001	+1.80170040213864E+001	+5.20457084051473E+000
+1.17403701262728E+001	+1.80207500691016E+001	+5.23321448676142E+000
+1.19302616220159E+001	+1.80242287632525E+001	+5.28359566290802E+000
+1.21232244672793E+001	+1.80239989042497E+001	+5.32502855435327E+000
+1.23193083387894E+001	+1.80319261906064E+001	+5.37354924560167E+000
+1.25185637167555E+001	+1.80346635929436E+001	+5.43900325785180E+000
+1.27210418978659E+001	+1.80381401400859E+001	+5.49158598315308E+000
+1.29267950084932E+001	+1.80400070122538E+001	+5.54646803856517E+000
+1.31358760181143E+001	+1.80386118905736E+001	+5.60824706988375E+000
+1.33483387529470E+001	+1.80451531482520E+001	+5.64921233689765E+000
+1.35642379098066E+001	+1.80452380946593E+001	+5.69574271419851E+000
+1.37836290701879E+001	+1.80469523393992E+001	+5.75982814844495E+000
+1.40065687145734E+001	+1.80513010213931E+001	+5.81021786509307E+000
+1.42331142369745E+001	+1.80540806314982E+001	+5.86428237196227E+000
+1.44633239597066E+001	+1.80555673045683E+001	+5.92322055918102E+000
+1.46972571484039E+001	+1.80569170801058E+001	+5.99288512424335E+000
+1.49349740272769E+001	+1.80599301260146E+001	+6.05803329171317E+000
+1.51765357946165E+001	+1.80629252564425E+001	+6.13401511553806E+000
+1.54220046385492E+001	+1.80661312677112E+001	+6.18719647050398E+000
+1.56714437530468E+001	+1.80692773116190E+001	+6.26416353419248E+000
+1.59249173541951E+001	+1.80689209150399E+001	+6.30998269410668E+000
+1.61824906967259E+001	+1.80718353537687E+001	+6.38729813803649E+000
+1.64442300908165E+001	+1.80709970323149E+001	+6.46310435990538E+000
+1.67102029191604E+001	+1.80751259612325E+001	+6.55795763007677E+000
+1.69804776543145E+001	+1.80755224670033E+001	+6.60477650586211E+000
+1.72551238763271E+001	+1.80792625531053E+001	+6.70898220031581E+000
+1.75342122906502E+001	+1.80779523208506E+001	+6.75425011680572E+000
+1.78178147463426E+001	+1.80802247924519E+001	+6.87683451590864E+000
