Frequency	Imp. Mag	Imp. Angle
+1.00000000000000E+001	+1.55698504562484E+001	+5.67443745156624E+000
+1.01617423417667E+001	+1.55717553963063E+001	+5.76448580010267E+000
+1.03261007420454E+001	+1.55739402520256E+001	+5.85720734408175E+000
+1.04931175135791E+001	+1.55762434496044E+001	+5.94969803192298E+000
+1.06628356534870E+001	+1.55785720616142E+001	+6.04582828735655E+000
+1.08352988543338E+001	+1.55809507505769E+001	+6.14192372236494E+000
+1.10105515153780E+001	+1.55835053657066E+001	+6.24353762068937E+000
+1.11886387540020E+001	+1.55856641655872E+001	+6.34260265160265E+000
+1.13696064173274E+001	+1.55884663850994E+001	+6.44917234966431E+000
+1.15535010940178E+001	+1.55909085003413E+001	+6.55746452246730E+000
+1.17403701262728E+001	+1.55941074221406E+001	+6.65394311363275E+000
+1.19302616220159E+001	+1.55969904987035E+001	+6.76068398663807E+000
+1.21232244672793E+001	+1.55992016685594E+001	+6.87353768184270E+000
+1.23193083387894E+001	+1.56023068973205E+001	+6.98293578046095E+000
+1.25185637167555E+001	+1.56052494828461E+001	+7.09975530617976E+000
+1.27210418978659E+001	+1.56084652173791E+001	+7.21562119623734E+000
+1.29267950084932E+001	+1.56116308387065E+001	+7.33243707708254E+000
+1.31358760181143E+001	+1.56151769561398E+001	+7.45143412329118E+000
+1.33483387529470E+001	+1.56180644329412E+001	+7.57413988544810E+000
+1.35642379098066E+001	+1.56220682145559E+001	+7.69413430148737E+000
+1.37836290701879E+001	+1.56261620988535E+001	+7.82265958578229E+000
+1.40065687145734E+001	+1.56294915618581E+001	+7.95724308312830E+000
+1.42331142369745E+001	+1.56328083481558E+001	+8.08481581078430E+000
+1.44633239597066E+001	+1.56375351739397E+001	+8.21545385819300E+000
+1.46972571484039E+001	+1.56423423026044E+001	+8.34884151435693E+000
+1.49349740272769E+001	+1.56453723449264E+001	+8.49548940989341E+000
+1.51765357946165E+001	+1.56502016776962E+001	+8.62680818769018E+000
+1.54220046385492E+001	+1.56542578069817E+001	+8.77953389201373E+000
+1.56714437530468E+001	+1.56590747662889E+001	+8.91512600928373E+000
+1.59249173541951E+001	+1.56639533615249E+001	+9.05863982573847E+000
+1.61824906967259E+001	+1.56702230654259E+001	+9.22477968922838E+000
+1.64442300908165E+001	+1.56749674945145E+001	+9.36959681417247E+000
+1.67102029191604E+001	+1.56799184955308E+001	+9.52948349977592E+000
+1.69804776543145E+001	+1.56848739945161E+001	+9.68499130520962E+000
+1.72551238763271E+001	+1.56910935147605E+001	+9.83624720836939E+000
+1.75342122906502E+001	+1.56982347636479E+001	+1.00105433720227E+001
+1.78178147463426E+001	+1.57040804160154E+001	+1.01895322564689E+001
+1.81060042545664E+001	+1.57081985372940E+001	+1.03697646664846E+001
+1.83988550073835E+001	+1.57137896487873E+001	+1.05521893826850E+001
