Frequency	Imp. Mag	Imp. Angle
+1.00000000000000E+001	+1.56879484466640E+001	+3.33498438222956E+000
+1.01617423417667E+001	+1.56939044286269E+001	+3.29805148347937E+000
+1.03261007420454E+001	+1.56995500286802E+001	+3.36007214699929E+000
+1.04931175135791E+001	+1.56973303788505E+001	+3.40540088722700E+000
+1.06628356534870E+001	+1.56997250528166E+001	+3.44267352715672E+000
+1.08352988543338E+001	+1.57003358170123E+001	+3.48595318804186E+000
+1.10105515153780E+001	+1.56986170688899E+001	+3.55441392368115E+000
+1.11886387540020E+001	+1.57006049636320E+001	+3.59938787887347E+000
+1.13696064173274E+001	+1.57025590555666E+001	+3.62867589338131E+000
+1.15535010940178E+001	+1.57030963458082E+001	+3.67800606940426E+000
+1.17403701262728E+001	+1.57018110673810E+001	+3.74486070715048E+000
+1.19302616220159E+001	+1.57042350863393E+001	+3.78457438770582E+000
+1.21232244672793E+001	+1.57086636205521E+001	+3.83449435182688E+000
+1.23193083387894E+001	+1.57065354013685E+001	+3.90743641388302E+000
+1.25185637167555E+001	+1.57091532008952E+001	+3.94812615724016E+000
+1.27210418978659E+001	+1.57112383353340E+001	+3.99539046905252E+000
+1.29267950084932E+001	+1.57089070691163E+001	+4.04437907444865E+000
+1.31358760181143E+001	+1.57120373662922E+001	+4.10839498004661E+000
+1.33483387529470E+001	+1.57144178310923E+001	+4.15284449927570E+000
+1.35642379098066E+001	+1.57157098385799E+001	+4.21297739181670E+000
+1.37836290701879E+001	+1.57165447820525E+001	+4.27270787627837E+000
+1.40065687145734E+001	+1.57192745658521E+001	+4.31687733309757E+000
+1.42331142369745E+001	+1.57201846208197E+001	+4.41487356761813E+000
+1.44633239597066E+001	+1.57232589872746E+001	+4.49437556817431E+000
+1.46972571484039E+001	+1.57180816256875E+001	+4.51884393853884E+000
+1.49349740272769E+001	+1.57207683055490E+001	+4.60959684693746E+000
+1.51765357946165E+001	+1.57222693065314E+001	+4.67599044759192E+000
+1.54220046385492E+001	+1.57275597099634E+001	+4.74734671992986E+000
+1.56714437530468E+001	+1.57215084540889E+001	+4.80108378788432E+000
+1.59249173541951E+001	+1.57252386737369E+001	+4.89726495057621E+000
+1.61824906967259E+001	+1.57329787429076E+001	+4.95061785801781E+000
+1.64442300908165E+001	+1.57299061290990E+001	+5.02279821337850E+000
